idx,lesson,expression,shortexplain,explanation
83  , m12     , ~においても                       ,                                    ,
84  , m08     , ~に代わる~                        ,                                    ,
85  , m11     , ~に関する                         , 语气比「について」强               ,
86  , m03     , ~にしたら/~にしてみれば/~にすれば ,                                    ,
87  , m11     , ~にしても、~にしても              ,                                    ,
88  , m05     , ~に相違ない                       , 推测 非100%确信                    ,
89  , m13     , ~に対して                         ,                                    ,
90  , m13     , ~にたいする~                      ,                                    ,
91  , m05     , ~に違いない                       , 推测 非确信                        ,
92  , m09     , ~にて                             ,                                    ,
93  , m03|m13 , ~にとって、~                      ,                                    ,
94  , m13     , ~には~がある                      , 原因                               ,
95  , m11     , ~に夢中になる                     ,                                    ,
96  , m05     , ~に基づいた~                      ,                                    ,
97  , m06     , ~による/~によって【不同场合】     ,                                    ,
98  , m10|m15 , ~による/~によって【方法、手段】   , 方法手段 原因                      ,
98  , m15     , ~による/~によって【方法、手段】   , 方法手段 原因                      ,
99  , m13     , ~の一途をたどる                   ,                                    ,
100 , m07     , ~のうえで(の)                     ,                                    ,
101 , m05     , ~のうち                           ,                                    ,
102 , m10     , ~のだ                             , 理由说明 直接断定                  ,
103 , m10     , ~のだろう                         , 理由说明 推测语气                  ,
104 , m09     , ~のだろうか                       , 疑问                               ,
105 , m04     , ~(の)ではないか                   , 书面                               ,
106 , m11     , ~のところ                         ,                                    ,
106 , m16     , ~のに対して                       , 对比                               ,
107 , m05     , ~のは間違いない                   , 确信                               ,
108 , m01     , ~は~の1つだ                       ,                                    ,
109 , m07     , ~ばいい                           , 建议                               ,
110 , m13     , ~ばかりだ                         , 消极                               ,
111 , m02     , ~ぶり                             ,                                    ,
112 , m02     , ~ほうがっだ                       , 比较 建议                          ,
113 , m02     , ~ほうがいいだろう                 , 建议                               ,
114 , m06     , ~ほか、~も                        ,                                    ,
115 , m01     , ~ほど                             , 强调程度 书面                      ,
116 , m10     , ~ませ                             ,                                    ,
117 , m07     , ~まで【提出极端事例】             , 极端                               ,
118 , m13     , ~までには                         , 期限 发生某事的特定时间            ,
119 , m11     , ~見込みだ                         ,                                    ,
120 , m02     , ~ものだ【回顾】                   ,                                    ,
121 , m02     , ~ものだ【感慨】                   ,                                    ,
122 , m02     , ~ものだ【性质】                   ,                                    ,
123 , m15     , ~ゆえに/~ゆえの                   , 原因                               ,
124 , m10     , ~よう【目的】                     , 书面                               ,
125 , m05     , ~ような~/~ように~                 , 举例                               ,
126 , m02     , ~よりも                           , 「より」表起点时，不能加助词「も」 ,
127 , m13     , ~わけがない                       , 否定 语气强                        ,
128 , m11     , ~わけではない                     ,                                    ,
129 , m03     , ~わけにはいかない                 ,                                    ,
130 , m07     , ~わね                             , 大婶腔                             ,
131 , m05     , ~を~と呼ぶ                        ,                                    ,
132 , m05     , ~をきっかけにして                 , 后项多为好结果                     ,
133 , m05     , ~を中心とした                     ,                                    ,
134 , m16     , ~を占める                         , 比例                               ,
135 , m14     , ~を問わず                         , 书面                               ,
136 , m03     , ~を含めて                         ,                                    ,
1   , m01     , が／を／へ／と／から+は           ,                                    ,
1   , m02     , “动词‘ます形’去掉‘ます’的形式”，~ ,                                    ,
1   , m01     , 名词+の+名词                      ,                                    ,
1   , m05     , “が”与“の”的互换                  ,                                    ,
1   , m03     , 倒装【强调原因、理由】            ,                                    ,
1   , m09     , 拟声词+する                       ,                                    ,
1   , m11     , が／を／に／で／と／から+しか     ,                                    ,
1   , m11     , が／を／に／で／と／から+も       ,                                    ,
1   , m15     , 助词“で”的小结                    ,                                    ,
